 Roll Number, Gender,Location,What_are_the_usual_causes_of_stress_in_your_daily_online_class ,What_are_the_usual_behavioral_effects_of_stress_you_have_noticed_at_yourself,What_are_the_usual_PSYCHOLOGICAL_or_EMOTIONAL_effects_of_stress_you_have_noticed_at_yourself ,What_are_the_usual_PHYSICAL_effects_of_stress_you_have_noticed_at_yourself ,What_are_the_usual_COGNITIVE_Â_effects_of_stress_you_have_noticed_at_yourself,What_are_the_usual_SOCIAL_Â_effects_of_stress_you_have_noticed_at_yourself,What_are_your_personal_methods_to_relieve_stress,How_stressed_do_you_feel_on_a_daily_basis_during_the_academic_year,Found_that_you_could_not_cope_with_all_the_things_you_had_to_do,When_do_you_feel_mostly_stressed,How_effective_has_remote_learning_been_for_you                  ,How_well_could_you_manage_time_while_learning_remotely,Do_you_enjoy_learning_remotely
19234,Female,Urban,Environmental Background Noise,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,No cognitive effect,Difficulty engaging in mutual problem solving,Talking with someone,Less Stressed,Almost Never,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
180330129,Female,Urban,Environmental Background Noise,Difficulty communicating,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty listening,Social Media,highly stressed,Never,Online class during evening time,Not at all effective,Very Bad,Never
190330210,Male,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,No cognitive effect,Withdrawing or isolating from people,Sports / Exercise,Less Stressed,Almost Never,Assignment submision deadline,Not at all effective,Good,"Yes, but I would like to change a few things"
2010080002,Male,Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Talking with someone,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"No, there are quite a few challenges"
2010030380,Male,Urban,Family Issue,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless","Digestion Problem, Upset stomach, nausea, diarrhea","Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sports / Exercise,highly stressed,Fairly Often,Assignment submision deadline,Slightly effective,Good,"No, there are quite a few challenges"
2010030455,Male,Rural,Feeling no stress,Change in activity levels,"Sadness, moodiness, grief or depression",No physical effect,Difficulty Concentrating,Difficulty listening,Sleeping,Average Stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"No, there are quite a few challenges"
160030158,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,Eye problem due to online class,No cognitive effect,No social effect,Sports / Exercise,highly stressed,Very Often,Online class during evening time,Very effective,Very good,"Yes, absolutely"
2010030119,Female,Urban,Feeling no stress,Difficulty communicating,"Sadness, moodiness, grief or depression",Tremors or muscle twitching,Difficulty Concentrating,Withdrawing or isolating from people,Social Media,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
190330039,Male,Urban,Family Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,No cognitive effect,Difficulty engaging in mutual problem solving,Computer Games,highly stressed,Sometimes,Online class during evening time,Moderately effective,Very good,"Yes, but I would like to change a few things"
190330096,Female,Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty listening,Sports / Exercise,highly stressed,Almost Never,Online class during evening time,Slightly effective,Average,"No, there are quite a few challenges"
